"res" "sex" "wep" "alh"
"1" 74 "m" "MK14" 3.6773185711354
"2" 87 "f" "MK14" 8.46068902499974
"3" 78 "m" "MK14" 9.9311138857156
"4" 65 "f" "MK14" 4.77348462864757
"5" 59 "m" "MK14" 3.97374936938286
"6" 69 "f" "MK14" 8.30435713753104
"7" 74 "m" "MK14" 9.00941443629563
"8" 81 "f" "MK14" 8.31035252474248
"9" 57 "m" "MK14" 2.10709183849394
"10" 49 "f" "MK14" 4.17491959221661
"11" 68 "m" "MK14" 8.27410124614835
"12" 97 "f" "MK14" 7.96742836944759
"13" 74 "m" "MK14" 5.0792310424149
"14" 73 "f" "MK14" 8.01652367599308
"15" 70 "m" "MK14" 8.53053988702595
"16" 81 "f" "MK14" 7.95890427753329
"17" 70 "m" "MK14" 3.8729788325727
"18" 58 "f" "MK14" 5.77202115394175
"19" 85 "m" "MK14" 8.98914154432714
"20" 56 "f" "MK14" 3.51638009026647
"21" 67 "m" "UMP45" 2.39759658463299
"22" 62 "f" "UMP45" 2.69874435290694
"23" 95 "m" "UMP45" 4.97336980141699
"24" 87 "f" "UMP45" 9.02560626715422
"25" 80 "m" "UMP45" 4.00175432860851
"26" 70 "f" "UMP45" 9.42025832273066
"27" 92 "m" "UMP45" 5.90672700852156
"28" 66 "f" "UMP45" 3.75771394744515
"29" 91 "m" "UMP45" 2.516532022506
"30" 68 "f" "UMP45" 2.23799766786397
"31" 77 "m" "UMP45" 5.13629619963467
"32" 73 "f" "UMP45" 5.78934566490352
"33" 97 "m" "UMP45" 4.12926170416176
"34" 72 "f" "UMP45" 9.12664441391826
"35" 86 "m" "UMP45" 3.95255145430565
"36" 81 "f" "UMP45" 8.16572096198797
"37" 102 "m" "UMP45" 2.1467653606087
"38" 68 "f" "UMP45" 3.24460287392139
"39" 90 "m" "UMP45" 9.34284866042435
"40" 66 "f" "UMP45" 7.3048460315913
"41" 75 "m" "PM-9" 2.33832251280546
"42" 71 "f" "PM-9" 2.29967515356839
"43" 89 "m" "PM-9" 6.47725340910256
"44" 67 "f" "PM-9" 6.03818699158728
"45" 85 "m" "PM-9" 8.23176394216716
"46" 71 "f" "PM-9" 2.91251090355217
"47" 86 "m" "PM-9" 6.53688002750278
"48" 55 "f" "PM-9" 8.89805536903441
"49" 91 "m" "PM-9" 6.0601884573698
"50" 74 "f" "PM-9" 5.08549686148763
"51" 92 "m" "PM-9" 5.94155375659466
"52" 56 "f" "PM-9" 4.75731925852597
"53" 84 "m" "PM-9" 9.4335861671716
"54" 76 "f" "PM-9" 5.82562898471951
"55" 82 "m" "PM-9" 9.16769868694246
"56" 85 "f" "PM-9" 6.0986066441983
"57" 77 "m" "PM-9" 3.22675633430481
"58" 83 "f" "PM-9" 8.73983854986727
"59" 78 "m" "PM-9" 8.34993135742843
"60" 83 "f" "PM-9" 5.75411379896104
"61" 61 "m" "KSG-12" 6.49599527381361
"62" 62 "f" "KSG-12" 2.4427984058857
"63" 79 "m" "KSG-12" 7.69386232085526
"64" 60 "f" "KSG-12" 6.08973774686456
"65" 74 "m" "KSG-12" 9.61852920986712
"66" 77 "f" "KSG-12" 6.807855989784
"67" 71 "m" "KSG-12" 7.2627621833235
"68" 77 "f" "KSG-12" 7.86629814468324
"69" 69 "m" "KSG-12" 6.51454186066985
"70" 63 "f" "KSG-12" 7.25394088216126
"71" 84 "m" "KSG-12" 6.8122398853302
"72" 80 "f" "KSG-12" 9.64907857589424
"73" 68 "m" "KSG-12" 3.23263194598258
"74" 55 "f" "KSG-12" 2.27890204824507
"75" 69 "m" "KSG-12" 9.90382495336235
"76" 72 "f" "KSG-12" 8.48488784022629
"77" 63 "m" "KSG-12" 3.65258293412626
"78" 65 "f" "KSG-12" 3.93003833293915
"79" 66 "m" "KSG-12" 8.06120183691382
"80" 60 "f" "KSG-12" 7.64812263101339
